2015,mm,dd,HH,SEK/kWh,C,COP
1,1,1,1,0.64,3.5,4.803
2,1,1,2,0.6,3.7,4.8145999999999995
3,1,1,3,0.56,3.7,4.8145999999999995
4,1,1,4,0.55,3.9,4.8262
5,1,1,5,0.55,4.0,4.832
6,1,1,6,0.76,4.3,4.849399999999999
7,1,1,7,0.83,4.1,4.8378
8,1,1,8,0.85,4.3,4.849399999999999
9,1,1,9,0.85,4.3,4.849399999999999
10,1,1,10,0.84,5.2,4.901599999999999
11,1,1,11,0.84,5.1,4.8957999999999995
12,1,1,12,0.84,5.2,4.901599999999999
13,1,1,13,0.84,5.4,4.9132
14,1,1,14,0.83,6.3,4.9654
15,1,1,15,0.85,6.8,4.9944
16,1,1,16,0.85,7.1,5.0118
17,1,1,17,0.86,7.4,5.0291999999999994
18,1,1,18,0.86,7.4,5.0291999999999994
19,1,1,19,0.86,6.9,5.0001999999999995
20,1,1,20,0.86,6.5,4.976999999999999
21,1,1,21,0.85,6.5,4.976999999999999
22,1,1,22,0.85,6.6,4.982799999999999
23,1,1,23,0.63,6.7,4.9886
24,1,1,24,0.55,6.7,4.9886
25,1,2,1,0.55,6.5,4.976999999999999
26,1,2,2,0.47,6.4,4.9712
27,1,2,3,0.45,6.3,4.9654
28,1,2,4,0.48,6.4,4.9712
29,1,2,5,0.6,6.6,4.982799999999999
30,1,2,6,0.84,7.3,5.0234
31,1,2,7,0.85,8.5,5.093
32,1,2,8,0.86,8.9,5.116199999999999
33,1,2,9,0.86,9.3,5.1394
34,1,2,10,0.86,8.6,5.0988
35,1,2,11,0.86,8.0,5.064
36,1,2,12,0.86,7.6,5.0408
37,1,2,13,0.86,7.0,5.005999999999999
38,1,2,14,0.86,6.4,4.9712
39,1,2,15,0.86,5.9,4.9422
40,1,2,16,0.86,4.8,4.878399999999999
41,1,2,17,0.86,4.5,4.861
42,1,2,18,0.86,4.4,4.8552
43,1,2,19,0.86,3.7,4.8145999999999995
44,1,2,20,0.86,3.5,4.803
45,1,2,21,0.86,3.4,4.797199999999999
46,1,2,22,0.85,3.6,4.8088
47,1,2,23,0.64,4.0,4.832
48,1,2,24,0.63,4.1,4.8378
49,1,3,1,0.55,4.0,4.832
50,1,3,2,0.54,4.1,4.8378
51,1,3,3,0.44,3.7,4.8145999999999995
52,1,3,4,0.43,3.4,4.797199999999999
53,1,3,5,0.45,3.4,4.797199999999999
54,1,3,6,0.61,3.3,4.791399999999999
55,1,3,7,0.6,3.0,4.774
56,1,3,8,0.63,2.9,4.768199999999999
57,1,3,9,0.64,2.8,4.7623999999999995
58,1,3,10,0.64,2.8,4.7623999999999995
59,1,3,11,0.64,3.1,4.7798
60,1,3,12,0.64,3.3,4.791399999999999
61,1,3,13,0.64,3.3,4.791399999999999
62,1,3,14,0.64,2.8,4.7623999999999995
63,1,3,15,0.64,1.8,4.7044
64,1,3,16,0.65,1.3,4.6754
65,1,3,17,0.66,0.6,4.634799999999999
66,1,3,18,0.66,0.7,4.6406
67,1,3,19,0.66,0.5,4.629
68,1,3,20,0.66,0.4,4.6232
69,1,3,21,0.65,0.9,4.6522
70,1,3,22,0.65,0.5,4.629
71,1,3,23,0.64,0.6,4.634799999999999
72,1,3,24,0.64,0.4,4.6232
73,1,4,1,0.64,0.1,4.6057999999999995
74,1,4,2,0.64,-0.2,4.5884
75,1,4,3,0.64,0.3,4.6174
76,1,4,4,0.64,-0.1,4.5942
77,1,4,5,0.64,-0.3,4.582599999999999
