2015,mm,dd,HH,SEK/kWh,C,COP
78,1,4,6,0.64,-0.2,4.5884
79,1,4,7,0.64,-0.5,4.571
80,1,4,8,0.64,0.1,4.6057999999999995
81,1,4,9,0.64,-0.2,4.5884
82,1,4,10,0.65,0.1,4.6057999999999995
83,1,4,11,0.65,0.4,4.6232
84,1,4,12,0.65,0.8,4.6464
85,1,4,13,0.65,1.0,4.6579999999999995
86,1,4,14,0.65,1.0,4.6579999999999995
87,1,4,15,0.65,0.5,4.629
88,1,4,16,0.65,-0.2,4.5884
89,1,4,17,0.66,-0.9,4.5478
90,1,4,18,0.67,-1.1,4.5362
91,1,4,19,0.67,-0.8,4.553599999999999
92,1,4,20,0.66,-0.8,4.553599999999999
93,1,4,21,0.66,-1.6,4.507199999999999
94,1,4,22,0.66,-1.6,4.507199999999999
95,1,4,23,0.66,-0.8,4.553599999999999
96,1,4,24,0.65,-1.0,4.542
97,1,5,1,0.66,-1.3,4.5245999999999995
98,1,5,2,0.66,-1.3,4.5245999999999995
99,1,5,3,0.66,-2.0,4.484
100,1,5,4,0.66,-1.6,4.507199999999999
101,1,5,5,0.66,-2.9,4.4318
102,1,5,6,0.88,-2.7,4.4434
103,1,5,7,0.89,-3.5,4.396999999999999
104,1,5,8,0.91,-3.6,4.3911999999999995
105,1,5,9,0.96,-2.9,4.4318
106,1,5,10,0.99,-2.1,4.478199999999999
107,1,5,11,0.98,-1.5,4.513
108,1,5,12,0.98,-0.5,4.571
109,1,5,13,0.98,-0.2,4.5884
110,1,5,14,0.99,-0.8,4.553599999999999
111,1,5,15,0.99,-2.5,4.455
112,1,5,16,1.0,-4.1,4.3622
113,1,5,17,1.04,-5.0,4.31
114,1,5,18,1.13,-5.5,4.281
115,1,5,19,1.15,-5.4,4.2867999999999995
116,1,5,20,1.06,-6.4,4.2288
117,1,5,21,1.02,-7.4,4.1708
118,1,5,22,0.93,-6.5,4.223
119,1,5,23,0.69,-7.6,4.159199999999999
120,1,5,24,0.67,-6.3,4.2345999999999995
121,1,6,1,0.67,-5.7,4.269399999999999
122,1,6,2,0.66,-4.9,4.315799999999999
123,1,6,3,0.66,-4.4,4.344799999999999
124,1,6,4,0.66,-3.7,4.3854
125,1,6,5,0.66,-3.4,4.4028
126,1,6,6,0.87,-3.2,4.4144
127,1,6,7,0.88,-2.6,4.449199999999999
128,1,6,8,0.88,-2.5,4.455
129,1,6,9,0.88,-2.1,4.478199999999999
130,1,6,10,0.88,-1.7,4.501399999999999
131,1,6,11,0.88,-1.2,4.530399999999999
132,1,6,12,0.88,-0.8,4.553599999999999
133,1,6,13,0.88,-0.5,4.571
134,1,6,14,0.88,-0.2,4.5884
135,1,6,15,0.88,-0.2,4.5884
136,1,6,16,0.88,0.1,4.6057999999999995
137,1,6,17,0.89,0.1,4.6057999999999995
138,1,6,18,0.89,0.1,4.6057999999999995
139,1,6,19,0.88,0.1,4.6057999999999995
140,1,6,20,0.88,0.1,4.6057999999999995
141,1,6,21,0.87,0.1,4.6057999999999995
142,1,6,22,0.87,0.3,4.6174
143,1,6,23,0.65,0.4,4.6232
144,1,6,24,0.64,0.6,4.634799999999999
145,1,7,1,0.63,0.5,4.629
146,1,7,2,0.63,-0.4,4.5767999999999995
147,1,7,3,0.63,-0.8,4.553599999999999
148,1,7,4,0.63,-0.9,4.5478
149,1,7,5,0.63,-0.9,4.5478
150,1,7,6,0.86,-1.3,4.5245999999999995
151,1,7,7,0.88,-1.6,4.507199999999999
152,1,7,8,0.91,-1.7,4.501399999999999
153,1,7,9,0.92,-1.6,4.507199999999999
154,1,7,10,0.91,-1.6,4.507199999999999
155,1,7,11,0.92,-1.4,4.5188
156,1,7,12,0.91,-1.1,4.5362
157,1,7,13,0.91,-0.8,4.553599999999999
158,1,7,14,0.91,-0.4,4.5767999999999995
159,1,7,15,0.91,-0.3,4.582599999999999
160,1,7,16,0.95,-0.2,4.5884
161,1,7,17,0.98,0.1,4.6057999999999995
162,1,7,18,0.98,0.9,4.6522
163,1,7,19,0.93,1.3,4.6754
164,1,7,20,0.91,1.8,4.7044
165,1,7,21,0.89,0.9,4.6522
166,1,7,22,0.88,1.7,4.6986
167,1,7,23,0.65,1.8,4.7044
168,1,7,24,0.64,1.4,4.6812
169,1,8,1,0.63,1.9,4.7101999999999995
170,1,8,2,0.62,2.1,4.7218
171,1,8,3,0.61,2.3,4.7334
172,1,8,4,0.61,2.6,4.7508
173,1,8,5,0.61,3.0,4.774
174,1,8,6,0.84,3.2,4.7856
175,1,8,7,0.86,3.6,4.8088
176,1,8,8,0.87,3.9,4.8262
177,1,8,9,0.87,3.8,4.820399999999999
178,1,8,10,0.87,4.3,4.849399999999999
179,1,8,11,0.87,4.6,4.8668
180,1,8,12,0.87,5.0,4.89
181,1,8,13,0.87,5.3,4.9074
182,1,8,14,0.87,5.4,4.9132
183,1,8,15,0.88,4.3,4.849399999999999
184,1,8,16,0.88,3.5,4.803
185,1,8,17,0.89,3.5,4.803
186,1,8,18,0.9,3.7,4.8145999999999995
187,1,8,19,0.89,3.9,4.8262
188,1,8,20,0.88,4.3,4.849399999999999
189,1,8,21,0.87,4.5,4.861
190,1,8,22,0.86,4.5,4.861
191,1,8,23,0.64,4.9,4.8842
192,1,8,24,0.62,4.7,4.872599999999999
193,1,9,1,0.62,4.4,4.8552
194,1,9,2,0.62,3.9,4.8262
195,1,9,3,0.62,3.5,4.803
196,1,9,4,0.62,3.0,4.774
197,1,9,5,0.62,3.2,4.7856
198,1,9,6,0.85,3.2,4.7856
199,1,9,7,0.86,3.6,4.8088
200,1,9,8,0.87,3.2,4.7856
201,1,9,9,0.87,2.1,4.7218
202,1,9,10,0.87,2.9,4.768199999999999
203,1,9,11,0.87,2.4,4.739199999999999
204,1,9,12,0.88,2.8,4.7623999999999995
205,1,9,13,0.88,2.8,4.7623999999999995
206,1,9,14,0.88,2.3,4.7334
207,1,9,15,0.87,0.7,4.6406
208,1,9,16,0.87,1.0,4.6579999999999995
209,1,9,17,0.88,-0.1,4.5942
210,1,9,18,0.89,-1.6,4.507199999999999
211,1,9,19,0.88,-1.0,4.542
212,1,9,20,0.88,-1.2,4.530399999999999
213,1,9,21,0.87,-0.4,4.5767999999999995
214,1,9,22,0.86,-1.9,4.4898
215,1,9,23,0.64,-2.8,4.4376
216,1,9,24,0.63,-2.5,4.455
217,1,10,1,0.65,-4.1,4.3622
218,1,10,2,0.64,-1.8,4.4956
219,1,10,3,0.64,-1.4,4.5188
220,1,10,4,0.64,-1.4,4.5188
221,1,10,5,0.64,-1.1,4.5362
222,1,10,6,0.65,-1.1,4.5362
223,1,10,7,0.65,-0.9,4.5478
224,1,10,8,0.65,-0.7,4.559399999999999
225,1,10,9,0.65,-0.8,4.553599999999999
226,1,10,10,0.65,-0.4,4.5767999999999995
227,1,10,11,0.65,-0.5,4.571
228,1,10,12,0.65,-0.4,4.5767999999999995
229,1,10,13,0.65,-0.2,4.5884
230,1,10,14,0.65,0.1,4.6057999999999995
231,1,10,15,0.65,1.6,4.6928
232,1,10,16,0.65,3.3,4.791399999999999
233,1,10,17,0.65,4.4,4.8552
234,1,10,18,0.65,4.1,4.8378
235,1,10,19,0.65,4.1,4.8378
236,1,10,20,0.64,4.2,4.8435999999999995
237,1,10,21,0.65,3.5,4.803
238,1,10,22,0.64,5.1,4.8957999999999995
239,1,10,23,0.63,4.4,4.8552
240,1,10,24,0.62,4.1,4.8378
241,1,11,1,0.62,1.3,4.6754
242,1,11,2,0.61,1.9,4.7101999999999995
243,1,11,3,0.61,0.4,4.6232
244,1,11,4,0.6,0.3,4.6174
245,1,11,5,0.61,-0.1,4.5942
246,1,11,6,0.61,-0.2,4.5884
247,1,11,7,0.61,-0.7,4.559399999999999
248,1,11,8,0.62,-1.5,4.513
249,1,11,9,0.62,-2.1,4.478199999999999
250,1,11,10,0.63,-2.4,4.4608
251,1,11,11,0.64,-2.4,4.4608
252,1,11,12,0.65,-2.6,4.449199999999999
253,1,11,13,0.64,-3.0,4.425999999999999
254,1,11,14,0.65,-3.2,4.4144
255,1,11,15,0.64,-3.3,4.4086
256,1,11,16,0.65,-3.5,4.396999999999999
257,1,11,17,0.65,-3.8,4.3796
258,1,11,18,0.66,-4.1,4.3622
259,1,11,19,0.66,-5.4,4.2867999999999995
260,1,11,20,0.66,-5.1,4.3042
261,1,11,21,0.65,-6.8,4.2056
262,1,11,22,0.65,-6.5,4.223
263,1,11,23,0.65,-7.0,4.194
264,1,11,24,0.64,-7.6,4.159199999999999
265,1,12,1,0.65,-5.8,4.263599999999999
266,1,12,2,0.65,-5.7,4.269399999999999
267,1,12,3,0.65,-5.4,4.2867999999999995
268,1,12,4,0.65,-4.8,4.3216
269,1,12,5,0.65,-4.4,4.344799999999999
270,1,12,6,0.86,-4.0,4.367999999999999
271,1,12,7,0.88,-3.5,4.396999999999999
272,1,12,8,0.92,-3.1,4.4201999999999995
273,1,12,9,0.92,-2.2,4.4723999999999995
274,1,12,10,0.92,-1.4,4.5188
275,1,12,11,0.89,0.4,4.6232
276,1,12,12,0.88,1.4,4.6812
277,1,12,13,0.87,2.5,4.744999999999999
278,1,12,14,0.87,2.6,4.7508
279,1,12,15,0.87,3.3,4.791399999999999
280,1,12,16,0.88,3.7,4.8145999999999995
281,1,12,17,0.88,3.8,4.820399999999999
282,1,12,18,0.88,4.1,4.8378
283,1,12,19,0.88,5.0,4.89
284,1,12,20,0.87,5.6,4.924799999999999
285,1,12,21,0.86,4.9,4.8842
286,1,12,22,0.86,4.8,4.878399999999999
287,1,12,23,0.64,4.5,4.861
288,1,12,24,0.63,4.3,4.849399999999999
289,1,13,1,0.65,4.2,4.8435999999999995
290,1,13,2,0.65,4.1,4.8378
291,1,13,3,0.65,3.8,4.820399999999999
292,1,13,4,0.65,3.7,4.8145999999999995
293,1,13,5,0.66,3.8,4.820399999999999
294,1,13,6,0.88,3.8,4.820399999999999
295,1,13,7,0.9,3.2,4.7856
296,1,13,8,0.93,2.5,4.744999999999999
297,1,13,9,0.93,2.0,4.715999999999999
298,1,13,10,0.93,2.2,4.7276
299,1,13,11,0.93,2.1,4.7218
300,1,13,12,0.92,2.6,4.7508
301,1,13,13,0.92,2.9,4.768199999999999
302,1,13,14,0.92,2.8,4.7623999999999995
303,1,13,15,0.92,2.8,4.7623999999999995
304,1,13,16,0.93,2.6,4.7508
305,1,13,17,0.94,2.5,4.744999999999999
306,1,13,18,1.0,2.5,4.744999999999999
307,1,13,19,0.99,2.5,4.744999999999999
308,1,13,20,0.95,3.0,4.774
309,1,13,21,0.89,2.2,4.7276
310,1,13,22,0.89,1.9,4.7101999999999995
311,1,13,23,0.67,1.5,4.686999999999999
312,1,13,24,0.65,1.2,4.6696
313,1,14,1,0.64,0.5,4.629
314,1,14,2,0.63,0.4,4.6232
315,1,14,3,0.62,1.1,4.663799999999999
316,1,14,4,0.62,1.0,4.6579999999999995
317,1,14,5,0.63,1.6,4.6928
318,1,14,6,0.85,0.7,4.6406
319,1,14,7,0.86,1.0,4.6579999999999995
320,1,14,8,0.89,-0.1,4.5942
321,1,14,9,0.9,0.9,4.6522
322,1,14,10,0.89,1.0,4.6579999999999995
323,1,14,11,0.88,1.6,4.6928
324,1,14,12,0.88,1.8,4.7044
325,1,14,13,0.87,1.7,4.6986
326,1,14,14,0.87,1.6,4.6928
327,1,14,15,0.88,1.5,4.686999999999999
328,1,14,16,0.9,0.9,4.6522
329,1,14,17,0.91,1.1,4.663799999999999
330,1,14,18,0.93,0.4,4.6232
331,1,14,19,0.92,0.7,4.6406
332,1,14,20,0.9,1.1,4.663799999999999
333,1,14,21,0.87,1.8,4.7044
334,1,14,22,0.87,1.7,4.6986
335,1,14,23,0.65,1.6,4.6928
336,1,14,24,0.64,1.2,4.6696
337,1,15,1,0.64,1.1,4.663799999999999
338,1,15,2,0.64,0.9,4.6522
339,1,15,3,0.64,0.8,4.6464
340,1,15,4,0.64,0.3,4.6174
341,1,15,5,0.64,0.2,4.611599999999999
342,1,15,6,0.86,0.2,4.611599999999999
343,1,15,7,0.88,-0.1,4.5942
344,1,15,8,0.9,-0.4,4.5767999999999995
345,1,15,9,0.92,-0.1,4.5942
346,1,15,10,0.89,0.4,4.6232
347,1,15,11,0.88,1.3,4.6754
348,1,15,12,0.87,1.5,4.686999999999999
349,1,15,13,0.87,1.8,4.7044
350,1,15,14,0.87,1.9,4.7101999999999995
351,1,15,15,0.87,2.1,4.7218
352,1,15,16,0.87,2.4,4.739199999999999
353,1,15,17,0.88,2.6,4.7508
354,1,15,18,0.89,2.3,4.7334
355,1,15,19,0.89,1.8,4.7044
356,1,15,20,0.88,1.7,4.6986
357,1,15,21,0.87,1.7,4.6986
358,1,15,22,0.87,2.0,4.715999999999999
359,1,15,23,0.65,2.4,4.739199999999999
360,1,15,24,0.63,2.4,4.739199999999999
361,1,16,1,0.63,2.5,4.744999999999999
362,1,16,2,0.62,2.4,4.739199999999999
363,1,16,3,0.62,2.4,4.739199999999999
364,1,16,4,0.62,3.6,4.8088
365,1,16,5,0.62,3.5,4.803
366,1,16,6,0.85,3.7,4.8145999999999995
367,1,16,7,0.87,2.3,4.7334
368,1,16,8,0.88,3.0,4.774
369,1,16,9,0.88,3.6,4.8088
370,1,16,10,0.88,4.4,4.8552
371,1,16,11,0.88,4.7,4.872599999999999
372,1,16,12,0.88,4.7,4.872599999999999
373,1,16,13,0.87,5.3,4.9074
374,1,16,14,0.87,5.5,4.919
375,1,16,15,0.87,5.1,4.8957999999999995
376,1,16,16,0.87,4.5,4.861
377,1,16,17,0.88,4.1,4.8378
378,1,16,18,0.89,3.9,4.8262
379,1,16,19,0.89,4.0,4.832
380,1,16,20,0.88,3.3,4.791399999999999
381,1,16,21,0.87,3.5,4.803
382,1,16,22,0.87,2.4,4.739199999999999
383,1,16,23,0.66,2.2,4.7276
384,1,16,24,0.65,2.3,4.7334
385,1,17,1,0.64,2.5,4.744999999999999
386,1,17,2,0.63,1.6,4.6928
387,1,17,3,0.63,1.4,4.6812
388,1,17,4,0.63,0.9,4.6522
389,1,17,5,0.63,1.5,4.686999999999999
390,1,17,6,0.64,1.3,4.6754
391,1,17,7,0.64,0.7,4.6406
392,1,17,8,0.65,0.7,4.6406
393,1,17,9,0.65,1.2,4.6696
394,1,17,10,0.66,1.7,4.6986
395,1,17,11,0.66,1.9,4.7101999999999995
396,1,17,12,0.66,2.1,4.7218
397,1,17,13,0.65,2.3,4.7334
398,1,17,14,0.65,1.8,4.7044
399,1,17,15,0.65,2.4,4.739199999999999
400,1,17,16,0.65,2.8,4.7623999999999995
401,1,17,17,0.66,3.2,4.7856
402,1,17,18,0.67,3.3,4.791399999999999
403,1,17,19,0.67,3.3,4.791399999999999
404,1,17,20,0.66,3.5,4.803
405,1,17,21,0.65,3.6,4.8088
406,1,17,22,0.65,3.5,4.803
407,1,17,23,0.65,2.9,4.768199999999999
408,1,17,24,0.64,2.8,4.7623999999999995
409,1,18,1,0.63,2.6,4.7508
410,1,18,2,0.62,2.5,4.744999999999999
411,1,18,3,0.62,2.1,4.7218
412,1,18,4,0.62,1.8,4.7044
413,1,18,5,0.62,1.7,4.6986
414,1,18,6,0.62,1.4,4.6812
415,1,18,7,0.63,1.4,4.6812
416,1,18,8,0.63,1.9,4.7101999999999995
417,1,18,9,0.63,1.5,4.686999999999999
418,1,18,10,0.64,1.7,4.6986
419,1,18,11,0.65,1.9,4.7101999999999995
420,1,18,12,0.65,1.4,4.6812
421,1,18,13,0.65,2.2,4.7276
422,1,18,14,0.64,1.7,4.6986
423,1,18,15,0.65,1.5,4.686999999999999
424,1,18,16,0.66,1.2,4.6696
425,1,18,17,0.67,1.1,4.663799999999999
426,1,18,18,0.69,0.9,4.6522
427,1,18,19,0.69,0.1,4.6057999999999995
428,1,18,20,0.67,0.4,4.6232
429,1,18,21,0.66,0.6,4.634799999999999
430,1,18,22,0.66,0.6,4.634799999999999
431,1,18,23,0.66,0.1,4.6057999999999995
432,1,18,24,0.65,0.1,4.6057999999999995
433,1,19,1,0.64,-0.5,4.571
434,1,19,2,0.64,-1.1,4.5362
435,1,19,3,0.64,-1.4,4.5188
436,1,19,4,0.64,-1.4,4.5188
437,1,19,5,0.64,-0.9,4.5478
438,1,19,6,0.87,-0.6,4.5652
439,1,19,7,0.89,-1.4,4.5188
440,1,19,8,0.95,-1.6,4.507199999999999
441,1,19,9,1.02,-1.7,4.501399999999999
442,1,19,10,0.99,-1.2,4.530399999999999
443,1,19,11,0.93,-0.5,4.571
444,1,19,12,0.91,-0.5,4.571
445,1,19,13,0.91,-0.5,4.571
446,1,19,14,0.91,-0.4,4.5767999999999995
447,1,19,15,0.91,-0.3,4.582599999999999
448,1,19,16,0.91,-0.3,4.582599999999999
449,1,19,17,0.91,-0.1,4.5942
450,1,19,18,0.99,-0.1,4.5942
451,1,19,19,0.9,-0.1,4.5942
452,1,19,20,0.89,-0.1,4.5942
453,1,19,21,0.88,0.1,4.6057999999999995
454,1,19,22,0.87,0.2,4.611599999999999
455,1,19,23,0.65,0.3,4.6174
456,1,19,24,0.65,0.3,4.6174
457,1,20,1,0.65,0.1,4.6057999999999995
458,1,20,2,0.65,0.1,4.6057999999999995
459,1,20,3,0.64,0.1,4.6057999999999995
460,1,20,4,0.64,0.1,4.6057999999999995
461,1,20,5,0.65,0.1,4.6057999999999995
462,1,20,6,0.87,0.3,4.6174
463,1,20,7,0.89,0.5,4.629
464,1,20,8,0.98,0.4,4.6232
465,1,20,9,1.0,0.3,4.6174
466,1,20,10,0.97,0.3,4.6174
467,1,20,11,0.95,0.3,4.6174
468,1,20,12,0.94,0.4,4.6232
469,1,20,13,0.92,0.2,4.611599999999999
470,1,20,14,0.92,-0.2,4.5884
471,1,20,15,0.94,-0.4,4.5767999999999995
472,1,20,16,1.0,-0.3,4.582599999999999
473,1,20,17,1.03,-0.2,4.5884
474,1,20,18,1.04,-0.1,4.5942
475,1,20,19,1.02,-0.1,4.5942
476,1,20,20,0.9,0.1,4.6057999999999995
477,1,20,21,0.88,0.2,4.611599999999999
478,1,20,22,0.88,0.2,4.611599999999999
479,1,20,23,0.66,0.2,4.611599999999999
480,1,20,24,0.65,-0.2,4.5884
481,1,21,1,0.65,-0.5,4.571
482,1,21,2,0.64,-0.7,4.559399999999999
483,1,21,3,0.64,-0.6,4.5652
484,1,21,4,0.64,-1.1,4.5362
485,1,21,5,0.65,-1.3,4.5245999999999995
486,1,21,6,0.87,-1.2,4.530399999999999
487,1,21,7,0.91,-1.0,4.542
488,1,21,8,1.06,-1.1,4.5362
489,1,21,9,1.1,-1.1,4.5362
490,1,21,10,1.07,-1.0,4.542
491,1,21,11,1.05,-0.7,4.559399999999999
492,1,21,12,1.03,-0.5,4.571
493,1,21,13,1.03,-0.4,4.5767999999999995
494,1,21,14,1.02,-0.2,4.5884
495,1,21,15,1.02,-0.2,4.5884
496,1,21,16,1.05,-0.3,4.582599999999999
497,1,21,17,1.07,-0.4,4.5767999999999995
498,1,21,18,1.12,-0.5,4.571
499,1,21,19,1.12,-0.5,4.571
500,1,21,20,0.95,-0.6,4.5652
501,1,21,21,0.91,-0.7,4.559399999999999
502,1,21,22,0.9,-0.8,4.553599999999999
503,1,21,23,0.68,-0.9,4.5478
504,1,21,24,0.66,-1.0,4.542
505,1,22,1,0.65,-1.0,4.542
506,1,22,2,0.65,-0.9,4.5478
507,1,22,3,0.65,-0.9,4.5478
508,1,22,4,0.65,-1.0,4.542
509,1,22,5,0.65,-1.1,4.5362
510,1,22,6,0.88,-1.2,4.530399999999999
511,1,22,7,0.93,-1.2,4.530399999999999
512,1,22,8,1.04,-1.3,4.5245999999999995
513,1,22,9,1.1,-1.3,4.5245999999999995
514,1,22,10,1.06,-1.3,4.5245999999999995
515,1,22,11,1.06,-1.2,4.530399999999999
516,1,22,12,1.05,-1.1,4.5362
517,1,22,13,1.04,-1.1,4.5362
518,1,22,14,1.03,-1.0,4.542
519,1,22,15,1.05,-1.1,4.5362
520,1,22,16,1.05,-1.3,4.5245999999999995
521,1,22,17,1.08,-1.7,4.501399999999999
522,1,22,18,1.14,-1.8,4.4956
523,1,22,19,1.12,-2.4,4.4608
524,1,22,20,0.97,-3.0,4.425999999999999
525,1,22,21,0.93,-4.1,4.3622
526,1,22,22,0.94,-7.1,4.188199999999999
527,1,22,23,0.69,-6.6,4.2172
528,1,22,24,0.67,-5.1,4.3042
529,1,23,1,0.67,-5.3,4.292599999999999
530,1,23,2,0.66,-4.2,4.3564
531,1,23,3,0.65,-4.4,4.344799999999999
532,1,23,4,0.65,-4.0,4.367999999999999
533,1,23,5,0.66,-4.4,4.344799999999999
534,1,23,6,0.89,-4.7,4.3274
535,1,23,7,0.93,-6.7,4.211399999999999
536,1,23,8,1.11,-5.0,4.31
537,1,23,9,1.1,-5.7,4.269399999999999
538,1,23,10,1.14,-5.3,4.292599999999999
539,1,23,11,1.13,-4.6,4.3332
540,1,23,12,1.11,-3.6,4.3911999999999995
541,1,23,13,1.05,-3.1,4.4201999999999995
542,1,23,14,1.01,-3.1,4.4201999999999995
543,1,23,15,1.0,-3.2,4.4144
544,1,23,16,0.96,-4.4,4.344799999999999
545,1,23,17,1.01,-4.5,4.3389999999999995
546,1,23,18,1.05,-4.2,4.3564
547,1,23,19,0.98,-3.5,4.396999999999999
548,1,23,20,0.9,-3.0,4.425999999999999
549,1,23,21,0.89,-3.7,4.3854
550,1,23,22,0.89,-4.3,4.3506
551,1,23,23,0.67,-3.4,4.4028
552,1,23,24,0.66,-2.8,4.4376
553,1,24,1,0.65,-3.3,4.4086
554,1,24,2,0.63,-3.5,4.396999999999999
555,1,24,3,0.63,-3.5,4.396999999999999
556,1,24,4,0.63,-2.7,4.4434
557,1,24,5,0.63,-2.6,4.449199999999999
558,1,24,6,0.63,-2.4,4.4608
559,1,24,7,0.63,-2.3,4.4666
560,1,24,8,0.64,-2.2,4.4723999999999995
561,1,24,9,0.64,-1.8,4.4956
562,1,24,10,0.65,-1.7,4.501399999999999
563,1,24,11,0.65,-1.6,4.507199999999999
564,1,24,12,0.65,-1.5,4.513
565,1,24,13,0.65,-1.4,4.5188
566,1,24,14,0.65,-1.2,4.530399999999999
567,1,24,15,0.66,-1.1,4.5362
568,1,24,16,0.66,-1.3,4.5245999999999995
569,1,24,17,0.66,-1.6,4.507199999999999
570,1,24,18,0.67,-1.7,4.501399999999999
571,1,24,19,0.67,-1.5,4.513
572,1,24,20,0.66,-1.2,4.530399999999999
573,1,24,21,0.66,-1.1,4.5362
574,1,24,22,0.65,-1.0,4.542
575,1,24,23,0.64,-0.9,4.5478
576,1,24,24,0.64,-0.6,4.5652
577,1,25,1,0.63,-0.2,4.5884
578,1,25,2,0.63,-0.1,4.5942
579,1,25,3,0.63,-0.1,4.5942
580,1,25,4,0.63,0.1,4.6057999999999995
581,1,25,5,0.63,-0.6,4.5652
582,1,25,6,0.63,-0.7,4.559399999999999
583,1,25,7,0.63,-0.4,4.5767999999999995
584,1,25,8,0.64,-0.6,4.5652
585,1,25,9,0.64,-0.2,4.5884
586,1,25,10,0.65,-0.2,4.5884
587,1,25,11,0.65,0.6,4.634799999999999
588,1,25,12,0.66,0.3,4.6174
589,1,25,13,0.66,0.1,4.6057999999999995
590,1,25,14,0.65,-0.2,4.5884
591,1,25,15,0.65,-0.1,4.5942
592,1,25,16,0.65,-0.2,4.5884
593,1,25,17,0.66,-0.4,4.5767999999999995
594,1,25,18,0.69,-0.5,4.571
595,1,25,19,0.69,-0.9,4.5478
596,1,25,20,0.67,-1.1,4.5362
597,1,25,21,0.66,-1.0,4.542
598,1,25,22,0.66,-1.1,4.5362
599,1,25,23,0.65,-1.0,4.542
600,1,25,24,0.64,-2.6,4.449199999999999
601,1,26,1,0.63,-4.6,4.3332
602,1,26,2,0.62,-4.7,4.3274
603,1,26,3,0.62,-5.2,4.2984
604,1,26,4,0.62,-5.5,4.281
605,1,26,5,0.62,-4.9,4.315799999999999
606,1,26,6,0.85,-4.8,4.3216
607,1,26,7,0.87,-3.9,4.373799999999999
608,1,26,8,0.88,-2.3,4.4666
609,1,26,9,0.88,-1.4,4.5188
610,1,26,10,0.88,-0.5,4.571
611,1,26,11,0.88,0.3,4.6174
612,1,26,12,0.87,1.0,4.6579999999999995
