2010,mm,dd,HH,SEK/kWh,C,COP
133,1,6,13,1.09,-14.7,3.7474
134,1,6,14,1.09,-13.8,3.7995999999999994
135,1,6,15,1.09,-14.0,3.7879999999999994
136,1,6,16,1.13,-13.9,3.7937999999999996
137,1,6,17,1.23,-13.6,3.8111999999999995
138,1,6,18,1.41,-13.6,3.8111999999999995
139,1,6,19,1.27,-13.8,3.7995999999999994
140,1,6,20,1.13,-13.6,3.8111999999999995
141,1,6,21,1.09,-13.3,3.8286
142,1,6,22,1.1,-12.9,3.8517999999999994
143,1,6,23,0.86,-12.9,3.8517999999999994
144,1,6,24,0.83,-12.8,3.8575999999999997
145,1,7,1,0.84,-12.1,3.8981999999999997
146,1,7,2,0.83,-12.0,3.9039999999999995
147,1,7,3,0.82,-11.2,3.9503999999999997
148,1,7,4,0.83,-11.1,3.9561999999999995
149,1,7,5,0.84,-11.0,3.9619999999999997
150,1,7,6,1.08,-10.9,3.9677999999999995
151,1,7,7,1.13,-10.7,3.9793999999999996
152,1,7,8,2.13,-10.7,3.9793999999999996
153,1,7,9,2.63,-10.0,4.02
154,1,7,10,2.63,-9.6,4.0432
155,1,7,11,2.41,-9.0,4.077999999999999
156,1,7,12,2.13,-8.7,4.0954
157,1,7,13,1.9,-9.7,4.0374
158,1,7,14,1.79,-10.2,4.0084
159,1,7,15,1.99,-11.8,3.9155999999999995
160,1,7,16,2.63,-12.6,3.8691999999999998
161,1,7,17,3.65,-13.1,3.8401999999999994
162,1,7,18,3.65,-13.3,3.8286
163,1,7,19,2.63,-13.6,3.8111999999999995
164,1,7,20,1.89,-13.8,3.7995999999999994
165,1,7,21,1.6,-13.7,3.8053999999999997
166,1,7,22,1.31,-13.9,3.7937999999999996
167,1,7,23,0.89,-14.0,3.7879999999999994
168,1,7,24,0.84,-14.7,3.7474
169,1,8,1,0.85,-15.0,3.7299999999999995
170,1,8,2,0.84,-15.0,3.7299999999999995
171,1,8,3,0.84,-15.0,3.7299999999999995
172,1,8,4,0.84,-13.0,3.8459999999999996
173,1,8,5,0.85,-13.0,3.8459999999999996
174,1,8,6,1.11,-13.0,3.8459999999999996
175,1,8,7,1.69,-12.0,3.9039999999999995
176,1,8,8,10.8,-12.0,3.9039999999999995
177,1,8,9,10.8,-13.2,3.8343999999999996
178,1,8,10,10.8,-12.9,3.8517999999999994
179,1,8,11,8.59,-13.0,3.8459999999999996
180,1,8,12,4.69,-14.8,3.7415999999999996
181,1,8,13,3.66,-14.5,3.7589999999999995
182,1,8,14,3.66,-15.4,3.7067999999999994
183,1,8,15,3.15,-15.6,3.6952
184,1,8,16,3.66,-17.6,3.5791999999999993
185,1,8,17,3.66,-19.2,3.4863999999999997
186,1,8,18,4.64,-20.9,3.3877999999999995
187,1,8,19,3.66,-21.2,3.3703999999999996
188,1,8,20,2.46,-21.7,3.3413999999999997
189,1,8,21,1.61,-25.8,3.1035999999999992
190,1,8,22,1.19,-23.3,3.2485999999999997
191,1,8,23,0.91,-25.2,3.1384
192,1,8,24,0.86,-26.0,3.0919999999999996
193,1,9,1,0.85,-25.0,3.1499999999999995
194,1,9,2,0.85,-26.2,3.0803999999999996
195,1,9,3,0.84,-25.5,3.1209999999999996
196,1,9,4,0.84,-25.0,3.1499999999999995
197,1,9,5,0.84,-26.1,3.0861999999999994
198,1,9,6,1.06,-26.6,3.0571999999999995
199,1,9,7,1.07,-26.5,3.0629999999999997
200,1,9,8,1.08,-25.5,3.1209999999999996
201,1,9,9,1.07,-24.6,3.1731999999999996
202,1,9,10,1.09,-23.5,3.2369999999999997
203,1,9,11,1.09,-23.3,3.2485999999999997
204,1,9,12,1.09,-20.6,3.4052
205,1,9,13,1.09,-16.3,3.6545999999999994
206,1,9,14,1.08,-17.2,3.6023999999999994
207,1,9,15,1.08,-16.4,3.6487999999999996
208,1,9,16,1.12,-19.0,3.4979999999999993
209,1,9,17,1.28,-21.8,3.3355999999999995
210,1,9,18,1.41,-20.1,3.4341999999999997
211,1,9,19,1.19,-20.7,3.3993999999999995
212,1,9,20,1.09,-21.4,3.3587999999999996
213,1,9,21,1.07,-21.9,3.3297999999999996
214,1,9,22,1.06,-24.3,3.1905999999999994
215,1,9,23,0.84,-21.5,3.3529999999999998
216,1,9,24,0.84,-13.3,3.8286
217,1,10,1,0.85,-12.5,3.8749999999999996
218,1,10,2,0.84,-11.4,3.9387999999999996
219,1,10,3,0.84,-11.3,3.9445999999999994
220,1,10,4,0.84,-11.4,3.9387999999999996
221,1,10,5,0.84,-11.1,3.9561999999999995
222,1,10,6,0.84,-10.3,4.002599999999999
223,1,10,7,0.84,-9.2,4.0664
224,1,10,8,0.85,-8.5,4.106999999999999
225,1,10,9,0.84,-7.9,4.1418
226,1,10,10,0.84,-7.3,4.1766
227,1,10,11,0.84,-6.7,4.211399999999999
228,1,10,12,0.86,-6.2,4.240399999999999
229,1,10,13,0.85,-6.1,4.2462
230,1,10,14,0.84,-6.1,4.2462
231,1,10,15,0.85,-5.4,4.2867999999999995
232,1,10,16,0.86,-5.7,4.269399999999999
233,1,10,17,0.88,-5.2,4.2984
234,1,10,18,0.95,-5.5,4.281
235,1,10,19,0.94,-5.7,4.269399999999999
236,1,10,20,0.89,-6.0,4.252
237,1,10,21,0.86,-6.2,4.240399999999999
238,1,10,22,0.86,-6.4,4.2288
239,1,10,23,0.85,-6.8,4.2056
240,1,10,24,0.83,-6.8,4.2056
241,1,11,1,0.85,-6.8,4.2056
242,1,11,2,0.84,-6.9,4.1998
243,1,11,3,0.84,-6.9,4.1998
244,1,11,4,0.84,-6.8,4.2056
245,1,11,5,0.85,-7.1,4.188199999999999
246,1,11,6,0.86,-7.1,4.188199999999999
247,1,11,7,0.91,-7.5,4.165
248,1,11,8,1.78,-7.9,4.1418
249,1,11,9,2.62,-8.7,4.0954
250,1,11,10,2.42,-9.3,4.060599999999999
251,1,11,11,1.78,-10.0,4.02
252,1,11,12,1.61,-10.6,3.9852
253,1,11,13,1.3,-11.0,3.9619999999999997
254,1,11,14,1.13,-10.9,3.9677999999999995
255,1,11,15,1.24,-11.6,3.9271999999999996
256,1,11,16,1.48,-14.6,3.7531999999999996
257,1,11,17,1.57,-16.1,3.6661999999999995
258,1,11,18,1.57,-15.1,3.7241999999999997
259,1,11,19,1.36,-17.3,3.5965999999999996
260,1,11,20,0.98,-17.9,3.5618
261,1,11,21,0.89,-18.6,3.5211999999999994
262,1,11,22,0.86,-19.1,3.4921999999999995
263,1,11,23,0.85,-19.0,3.4979999999999993
264,1,11,24,0.84,-19.5,3.4689999999999994
265,1,12,1,0.85,-18.9,3.5037999999999996
266,1,12,2,0.84,-19.3,3.4805999999999995
267,1,12,3,0.84,-18.4,3.5328
268,1,12,4,0.84,-18.0,3.5559999999999996
269,1,12,5,0.84,-17.0,3.6139999999999994
270,1,12,6,1.07,-16.2,3.6603999999999997
271,1,12,7,1.09,-15.3,3.7125999999999997
272,1,12,8,1.16,-14.8,3.7415999999999996
273,1,12,9,1.33,-15.2,3.7183999999999995
274,1,12,10,1.34,-14.9,3.7357999999999993
275,1,12,11,1.44,-14.1,3.7821999999999996
276,1,12,12,1.34,-13.6,3.8111999999999995
277,1,12,13,1.26,-12.7,3.8633999999999995
278,1,12,14,1.15,-11.9,3.9097999999999997
279,1,12,15,1.14,-11.6,3.9271999999999996
280,1,12,16,1.15,-11.7,3.9213999999999998
281,1,12,17,1.25,-11.7,3.9213999999999998
282,1,12,18,1.3,-11.8,3.9155999999999995
283,1,12,19,1.28,-11.8,3.9155999999999995
284,1,12,20,1.12,-11.9,3.9097999999999997
285,1,12,21,1.08,-11.7,3.9213999999999998
286,1,12,22,1.07,-11.6,3.9271999999999996
287,1,12,23,0.85,-11.6,3.9271999999999996
288,1,12,24,0.83,-11.5,3.933
289,1,13,1,0.85,-11.2,3.9503999999999997
290,1,13,2,0.85,-11.1,3.9561999999999995
291,1,13,3,0.84,-11.2,3.9503999999999997
292,1,13,4,0.84,-11.2,3.9503999999999997
293,1,13,5,0.85,-11.1,3.9561999999999995
294,1,13,6,1.08,-10.8,3.9735999999999994
295,1,13,7,1.09,-11.0,3.9619999999999997
296,1,13,8,1.15,-10.9,3.9677999999999995
297,1,13,9,1.16,-11.5,3.933
298,1,13,10,1.15,-11.2,3.9503999999999997
299,1,13,11,1.15,-11.5,3.933
300,1,13,12,1.15,-9.9,4.025799999999999
301,1,13,13,1.15,-10.1,4.0142
302,1,13,14,1.15,-10.1,4.0142
303,1,13,15,1.15,-9.5,4.0489999999999995
304,1,13,16,1.18,-9.8,4.031599999999999
305,1,13,17,1.17,-10.3,4.002599999999999
306,1,13,18,1.24,-10.2,4.0084
307,1,13,19,1.16,-11.1,3.9561999999999995
308,1,13,20,1.13,-10.4,3.9967999999999995
309,1,13,21,1.11,-9.8,4.031599999999999
310,1,13,22,1.1,-9.4,4.054799999999999
311,1,13,23,0.87,-9.6,4.0432
312,1,13,24,0.85,-10.0,4.02
313,1,14,1,0.85,-10.7,3.9793999999999996
314,1,14,2,0.84,-9.3,4.060599999999999
315,1,14,3,0.83,-8.7,4.0954
316,1,14,4,0.84,-8.4,4.1128
317,1,14,5,0.85,-8.0,4.135999999999999
318,1,14,6,1.09,-8.0,4.135999999999999
319,1,14,7,1.1,-7.4,4.1708
320,1,14,8,1.15,-6.6,4.2172
321,1,14,9,1.17,-6.0,4.252
322,1,14,10,1.17,-6.4,4.2288
323,1,14,11,1.18,-5.9,4.2578
324,1,14,12,1.17,-4.6,4.3332
325,1,14,13,1.15,-4.6,4.3332
326,1,14,14,1.17,-4.4,4.344799999999999
327,1,14,15,1.13,-4.8,4.3216
328,1,14,16,1.2,-4.1,4.3622
329,1,14,17,1.43,-3.7,4.3854
330,1,14,18,1.38,-3.5,4.396999999999999
331,1,14,19,1.32,-3.3,4.4086
332,1,14,20,1.19,-3.1,4.4201999999999995
333,1,14,21,1.1,-3.0,4.425999999999999
334,1,14,22,1.1,-2.8,4.4376
335,1,14,23,0.88,-2.6,4.449199999999999
336,1,14,24,0.85,-2.5,4.455
337,1,15,1,0.86,-2.5,4.455
338,1,15,2,0.86,-2.4,4.4608
339,1,15,3,0.86,-2.4,4.4608
340,1,15,4,0.86,-2.4,4.4608
341,1,15,5,0.87,-2.4,4.4608
342,1,15,6,1.1,-2.3,4.4666
343,1,15,7,1.16,-2.4,4.4608
344,1,15,8,1.56,-2.3,4.4666
345,1,15,9,1.61,-2.5,4.455
346,1,15,10,1.52,-2.6,4.449199999999999
347,1,15,11,1.51,-2.8,4.4376
348,1,15,12,1.3,-2.6,4.449199999999999
349,1,15,13,1.25,-2.6,4.449199999999999
350,1,15,14,1.16,-2.8,4.4376
351,1,15,15,1.13,-2.7,4.4434
352,1,15,16,1.14,-2.8,4.4376
353,1,15,17,1.15,-2.7,4.4434
354,1,15,18,1.34,-2.9,4.4318
355,1,15,19,1.26,-2.8,4.4376
356,1,15,20,1.14,-2.5,4.455
357,1,15,21,1.1,-2.4,4.4608
358,1,15,22,1.1,-2.1,4.478199999999999
359,1,15,23,0.87,-2.3,4.4666
360,1,15,24,0.86,-2.2,4.4723999999999995
361,1,16,1,0.85,-2.1,4.478199999999999
362,1,16,2,0.84,-2.2,4.4723999999999995
363,1,16,3,0.83,-2.2,4.4723999999999995
364,1,16,4,0.83,-2.2,4.4723999999999995
365,1,16,5,0.83,-2.3,4.4666
366,1,16,6,1.04,-2.4,4.4608
367,1,16,7,1.04,-2.5,4.455
368,1,16,8,1.05,-2.5,4.455
369,1,16,9,1.06,-2.4,4.4608
370,1,16,10,1.08,-2.4,4.4608
371,1,16,11,1.09,-2.0,4.484
372,1,16,12,1.09,-1.6,4.507199999999999
373,1,16,13,1.08,-2.1,4.478199999999999
374,1,16,14,1.07,-1.9,4.4898
375,1,16,15,1.07,-1.9,4.4898
376,1,16,16,1.08,-2.0,4.484
377,1,16,17,1.11,-2.0,4.484
378,1,16,18,1.14,-2.2,4.4723999999999995
379,1,16,19,1.11,-2.3,4.4666
380,1,16,20,1.09,-2.5,4.455
381,1,16,21,1.07,-2.8,4.4376
382,1,16,22,1.06,-3.0,4.425999999999999
383,1,16,23,0.83,-3.3,4.4086
384,1,16,24,0.82,-3.5,4.396999999999999
385,1,17,1,0.82,-3.3,4.4086
386,1,17,2,0.82,-3.2,4.4144
387,1,17,3,0.81,-2.8,4.4376
388,1,17,4,0.81,-2.5,4.455
389,1,17,5,0.81,-1.9,4.4898
390,1,17,6,0.81,-1.4,4.5188
391,1,17,7,0.81,-1.4,4.5188
392,1,17,8,0.82,-1.4,4.5188
393,1,17,9,0.82,-1.8,4.4956
394,1,17,10,0.83,-1.8,4.4956
395,1,17,11,0.84,-1.9,4.4898
396,1,17,12,0.85,-1.9,4.4898
397,1,17,13,0.84,-2.0,4.484
398,1,17,14,0.84,-2.1,4.478199999999999
399,1,17,15,0.84,-2.0,4.484
400,1,17,16,0.85,-2.3,4.4666
401,1,17,17,0.88,-2.6,4.449199999999999
402,1,17,18,0.88,-2.8,4.4376
403,1,17,19,0.88,-3.0,4.425999999999999
404,1,17,20,0.87,-2.8,4.4376
405,1,17,21,0.86,-2.0,4.484
406,1,17,22,0.88,-2.0,4.484
407,1,17,23,0.85,-1.9,4.4898
408,1,17,24,0.83,-1.9,4.4898
409,1,18,1,0.82,-1.9,4.4898
410,1,18,2,0.82,-1.9,4.4898
411,1,18,3,0.82,-2.0,4.484
412,1,18,4,0.82,-2.0,4.484
413,1,18,5,0.82,-1.9,4.4898
414,1,18,6,0.85,-1.6,4.507199999999999
