2013,mm,dd,HH,SEK/kWh,C,COP
1,1,1,1,0.65,5.1,4.8957999999999995
2,1,1,2,0.62,5.1,4.8957999999999995
3,1,1,3,0.59,5.3,4.9074
4,1,1,4,0.57,5.4,4.9132
5,1,1,5,0.57,5.4,4.9132
6,1,1,6,0.81,6.0,4.9479999999999995
7,1,1,7,0.83,5.9,4.9422
8,1,1,8,0.83,5.9,4.9422
9,1,1,9,0.83,4.9,4.8842
10,1,1,10,0.83,4.7,4.872599999999999
11,1,1,11,0.84,4.4,4.8552
12,1,1,12,0.85,4.3,4.849399999999999
13,1,1,13,0.85,4.2,4.8435999999999995
14,1,1,14,0.86,3.9,4.8262
15,1,1,15,0.87,3.3,4.791399999999999
16,1,1,16,0.88,2.6,4.7508
17,1,1,17,0.89,1.7,4.6986
18,1,1,18,0.9,1.2,4.6696
19,1,1,19,0.91,0.9,4.6522
20,1,1,20,0.91,1.5,4.686999999999999
21,1,1,21,0.9,0.6,4.634799999999999
22,1,1,22,0.89,1.5,4.686999999999999
23,1,1,23,0.68,1.7,4.6986
24,1,1,24,0.66,1.7,4.6986
25,1,2,1,0.66,2.4,4.739199999999999
26,1,2,2,0.66,2.0,4.715999999999999
27,1,2,3,0.65,2.1,4.7218
28,1,2,4,0.66,2.2,4.7276
29,1,2,5,0.66,2.3,4.7334
30,1,2,6,0.89,2.4,4.739199999999999
31,1,2,7,0.91,2.3,4.7334
32,1,2,8,0.93,2.1,4.7218
33,1,2,9,0.93,2.1,4.7218
34,1,2,10,0.92,2.1,4.7218
35,1,2,11,0.93,2.7,4.7566
36,1,2,12,0.92,2.5,4.744999999999999
37,1,2,13,0.92,2.5,4.744999999999999
38,1,2,14,0.92,2.5,4.744999999999999
39,1,2,15,0.92,2.3,4.7334
40,1,2,16,0.93,1.6,4.6928
41,1,2,17,0.94,1.4,4.6812
42,1,2,18,0.94,1.3,4.6754
43,1,2,19,0.93,1.8,4.7044
44,1,2,20,0.93,1.4,4.6812
45,1,2,21,0.91,0.8,4.6464
46,1,2,22,0.91,0.8,4.6464
47,1,2,23,0.69,1.0,4.6579999999999995
48,1,2,24,0.68,0.7,4.6406
49,1,3,1,0.66,-0.9,4.5478
50,1,3,2,0.65,0.2,4.611599999999999
51,1,3,3,0.65,0.2,4.611599999999999
52,1,3,4,0.65,-0.7,4.559399999999999
53,1,3,5,0.66,-0.7,4.559399999999999
54,1,3,6,0.67,1.2,4.6696
55,1,3,7,0.68,1.8,4.7044
56,1,3,8,0.69,1.6,4.6928
57,1,3,9,0.69,1.4,4.6812
58,1,3,10,0.69,1.5,4.686999999999999
59,1,3,11,0.69,1.7,4.6986
60,1,3,12,0.69,2.2,4.7276
61,1,3,13,0.69,3.6,4.8088
62,1,3,14,0.69,4.5,4.861
63,1,3,15,0.69,4.9,4.8842
64,1,3,16,0.69,4.9,4.8842
65,1,3,17,0.7,4.7,4.872599999999999
66,1,3,18,0.7,4.2,4.8435999999999995
67,1,3,19,0.7,3.8,4.820399999999999
68,1,3,20,0.69,4.1,4.8378
69,1,3,21,0.69,3.2,4.7856
70,1,3,22,0.68,3.5,4.803
71,1,3,23,0.68,3.5,4.803
72,1,3,24,0.64,3.6,4.8088
