Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
1,2,21,45,3, 3    , 3.40    , 3    , 0.80    , 1    ,-10.00    ,-10    
1,2,22,46,2.8, 3    , 3.60    , 4    , 0.80    , 1    ,-10.30    ,-10    
1,2,23,47,2.7, 3    , 4.00    , 4    , 1.00    , 1    ,-10.60    ,-11    
1,2,24,48,2.5, 3    , 4.10    , 4    , 0.70    , 1    ,-11.50    ,-12    
1,3,1,49,2.3, 2    , 4.00    , 4    ,-0.90    ,-1    ,-11.20    ,-11    
1,3,2,50,2.2, 2    , 4.10    , 4    , 0.20    , -      ,-11.20    ,-11    
1,3,3,51,2.2, 2    , 3.70    , 4    , -      , -      ,-11.30    ,-11    
1,3,4,52,2.2, 2    , 3.40    , 3    ,-0.70    ,-1    ,-14.70    ,-15    
1,3,5,53,2.2, 2    , 3.40    , 3    , -      , -      ,-13.40    ,-13    
1,3,6,54,2.3, 2    , 3.30    , 3    , 1.20    , 1    ,-12.10    ,-12    
1,3,7,55,2.3, 2    , 3.00    , 3    , 1.80    , 2    ,-10.20    ,-10    
1,3,8,56,2.4, 2    , 2.90    , 3    , 1.60    , 2    ,-8.60    ,-9    
1,3,9,57,2.5, 3    , 2.80    , 3    , 1.40    , 1    ,-8.50    ,-9    
1,3,10,58,3.6, 4    , 2.80    , 3    , 1.50    , 2    ,-9.40    ,-9    
1,3,11,59,4.8, 5    , 3.10    , 3    , 1.70    , 2    ,-9.20    ,-9    
1,3,12,60,6, 6    , 3.30    , 3    , 2.20    , 2    ,-8.60    ,-9    
1,3,13,61,5.6, 6    , 3.30    , 3    , 3.60    , 4    ,-8.00    ,-8    
1,3,14,62,5.6, 6    , 2.80    , 3    , 4.50    , 5    ,-7.60    ,-8    
1,3,15,63,5.6, 6    , 1.80    , 2    , 4.90    , 5    ,-7.20    ,-7    
1,3,16,64,6, 6    , 1.30    , 1    , 4.90    , 5    ,-6.80    ,-7    
1,3,17,65,5.7, 6    , 0.60    , 1    , 4.70    , 5    ,-5.90    ,-6    
1,3,18,66,5.4, 5    , 0.70    , 1    , 4.20    , 4    ,-5.10    ,-5    
1,3,19,67,5.1, 5    , 0.50    , 1    , 3.80    , 4    ,-4.90    ,-5    
1,3,20,68,4.8, 5    , 0.40    , -      , 4.10    , 4    ,-4.20    ,-4    
1,3,21,69,4.5, 5    , 0.90    , 1    , 3.20    , 3    ,-4.00    ,-4    
1,3,22,70,4.2, 4    , 0.50    , 1    , 3.50    , 4    ,-4.10    ,-4    
1,3,23,71,3.9, 4    , 0.60    , 1    , 3.50    , 4    ,-4.00    ,-4    
1,3,24,72,3.6, 4    , 0.40    , -      , 3.60    , 4    ,-3.50    ,-4    
1,4,1,73,2.9, 3    , 0.10    , -      , 3.80    , 4    ,-3.60    ,-4    
1,4,2,74,2.1, 2    ,-0.20    , -      , 3.40    , 3    ,-5.60    ,-6    
